Question,Object-States,Relationships,GPT Answer
Is the kitchen clean?,"{'stove': ['OFF', 'CLOSED'], 'kitchencounter': ['CLOSED'], 'garbagecan': ['CLOSED'], 'faucet': ['OFF']}","['dishbowl INSIDE kitchen', 'cutleryfork INSIDE kitchen', 'dishwashingliquid ON kitchencounter', 'garbagecan INSIDE bedroom']",NO
Is the bathroom in use?,"{'faucet': ['ON'], 'toilet': ['OPEN']}","['toothbrush ON bathroomcounter', 'towel ON bathroomcounter']",NO
Are we ready for a bath?,"{'faucet': ['OFF'], 'toilet': ['CLOSED']}","['barsoap ON bathroomcounter', 'towel ON bathroomcounter']",YES
Are we out of coffee?,{'coffeemaker': ['OFF']},"['coffeebeanbag INSIDE cabinet', 'coffeepot INSIDE coffeemaker']",NO
Is someone cooking?,"{'stove': ['ON', 'OPEN'], 'faucet': ['ON']}","['fryingpan ON stove', 'salmon INSIDE kitchen']",YES
Is the TV room occupied?,"{'tv': ['ON'], 'lightswitch': ['ON']}","['remotecontrol ON tvstand', 'sofa FACING tv']",YES
Is it bedtime?,"{'lightswitch': ['OFF'], 'tv': ['OFF'], 'computer': ['OFF']}","['bed INSIDE bedroom', 'door INSIDE bedroom']",NO
Is someone working from home?,"{'computer': ['ON'], 'cellphone': ['ON']}","['desk INSIDE bedroom', 'chair INSIDE bedroom']",YES
Are we eating breakfast?,"{'coffeemaker': ['ON'], 'toaster': ['ON']}","['breadslice INSIDE toaster', 'coffeebeanbag INSIDE kitchen']",NO
Are we having a party?,"{'radio': ['ON'], 'lightswitch': ['ON']}","['wineglass ON coffeetable', 'sofa FACING tv']",YES
Is the kitchen ready for cooking?,"{'stove': ['OFF', 'CLOSED'], 'fridge': ['CLOSED'], 'kitchencabinet': ['CLOSED'], 'kitchencounter': ['CLOSED']}","['stove INSIDE kitchen', 'fridge INSIDE kitchen', 'kitchencabinet INSIDE kitchen', 'kitchencounter INSIDE kitchen']",NO
Is everyone in the house asleep?,"{'lightswitch': ['ON'], 'tv': ['OFF'], 'computer': ['OFF']}","['lightswitch INSIDE livingroom', 'tv INSIDE livingroom', 'computer INSIDE bedroom']",NO
Is someone currently in the bathroom?,"{'faucet': ['OFF'], 'door': ['OPEN']}","['faucet INSIDE bathroom', 'door INSIDE bathroom']",NO
Has someone been reading?,"{'book': ['CLOSED'], 'tablelamp': ['ON']}","['book INSIDE livingroom', 'tablelamp INSIDE bedroom']",YES
Is the washing done?,"{'washingmachine': ['CLOSED', 'OFF']}",['washingmachine INSIDE bathroom'],YES
Are we ready to have a meal in the living room?,"{'tv': ['ON'], 'remotecontrol': ['OFF'], 'coffeetable': ['CLOSED']}","['tv INSIDE livingroom', 'remotecontrol ON tvstand', 'coffeetable INSIDE livingroom']",NO
Is it daytime?,"{'curtains': ['CLOSED'], 'candle': ['OFF']}","['curtains INSIDE livingroom', 'candle INSIDE livingroom']",NO
Has the workday started?,"{'computer': ['OFF'], 'cellphone': ['OFF']}","['computer INSIDE bedroom', 'cellphone INSIDE bedroom']",NO
Is there a power outage?,"{'lightswitch': ['ON'], 'microwave': ['OFF']}","['lightswitch INSIDE kitchen', 'microwave INSIDE kitchen']",YES
Is someone ready to leave the house?,"{'door': ['OPEN'], 'cellphone': ['OFF']}","['door INSIDE livingroom', 'cellphone INSIDE livingroom']",YES
Is someone in the living room?,"{'tv': ['OFF'], 'computer': ['OFF']}","['tv INSIDE livingroom', 'computer INSIDE livingroom']",NO
Is someone studying?,"{'book': ['CLOSED'], 'cellphone': ['OFF'], 'computer': ['OFF']}","['book ON desk', 'cellphone ON desk', 'computer ON desk']",NO
Has someone just finished watching TV?,"{'tv': ['OFF'], 'remotecontrol': ['OFF']}","['tv INSIDE livingroom', 'remotecontrol ON tvstand']",YES
Is the bedroom ready for sleep?,"{'lightswitch': ['ON'], 'tablelamp': ['ON'], 'door': ['OPEN']}","['lightswitch INSIDE bedroom', 'tablelamp INSIDE bedroom', 'door INSIDE bedroom']",NO
Are there fresh fruits in the kitchen?,{'fridge': ['CLOSED']},"['apple INSIDE fridge', 'bananas INSIDE fridge']",YES
Has someone just had a meal in the kitchen?,"{'plate': ['CLOSED'], 'faucet': ['ON']}","['plate ON kitchencounter', 'faucet INSIDE kitchen']",YES
Is someone working on the computer?,"{'computer': ['OFF'], 'cellphone': ['OFF']}","['computer INSIDE livingroom', 'cellphone ON coffeetable']",NO
Is someone getting ready for bed?,"{'lightswitch': [['ON']], 'toilet': [['CLOSED']], 'toothpaste': [['OPEN']]}","['lightswitch INSIDE bedroom', 'toilet INSIDE bathroom', 'toothpaste INSIDE bathroom']",NO
Is dinner being prepared in the kitchen?,"{'stove': [['ON']], 'microwave': [['ON']]}","['stove INSIDE kitchen', 'microwave INSIDE kitchen']",YES
Is someone studying in the bedroom?,"{'lightswitch': [['ON']], 'computer': [['ON']]}","['lightswitch INSIDE bedroom', 'computer INSIDE bedroom']",NO
Is someone watching TV in the living room?,"{'tv': [['ON']], 'lightswitch': [['ON']]}","['tv INSIDE livingroom', 'lightswitch INSIDE livingroom']",NO
Is someone doing laundry?,{'washingmachine': [['ON']]},['washingmachine INSIDE bathroom'],NO
Is it night time?,"{'lightswitch': [['ON']], 'window': [['CLOSED']]}","['lightswitch INSIDE livingroom', 'window INSIDE livingroom']",YES
Is the house being cleaned?,"{'microwave': [['OFF']], 'stove': [['OFF']], 'faucet': [['OFF']]}","['microwave INSIDE kitchen', 'stove INSIDE kitchen', 'faucet INSIDE bathroom']",NO
Is the living room ready for a movie night?,"{'tv': ['ON'], 'remotecontrol': ['ON'], 'lights': ['OFF'], 'sofa': ['OPEN']}","['remotecontrol ON tvstand', 'sofa INSIDE livingroom', 'tv INSIDE livingroom', 'lights INSIDE livingroom']",YES
Is someone in the kitchen making coffee?,"{'coffeemaker': ['ON'], 'fridge': ['OPEN'], 'lights': ['ON']}","['fridge INSIDE kitchen', 'coffeemaker INSIDE kitchen', 'lights INSIDE kitchen']",YES
Is the bathroom being used?,"{'faucet': ['ON'], 'lights': ['ON'], 'door': ['CLOSED']}","['faucet INSIDE bathroom', 'lights INSIDE bathroom', 'door INSIDE bathroom']",YES
Is someone in the bedroom reading a book?,"{'lights': ['ON'], 'book': ['OPEN']}","['book INSIDE bedroom', 'lights INSIDE bedroom']",NO
Did someone forget to turn off the computer in the bedroom?,"{'computer': ['ON'], 'lights': ['OFF'], 'door': ['CLOSED']}","['computer INSIDE bedroom', 'lights INSIDE bedroom', 'door INSIDE bedroom']",YES
Is it bedtime in the house?,"{'lights': ['OFF'], 'door': ['CLOSED'], 'tv': ['OFF'], 'computer': ['OFF']}","['lights INSIDE livingroom', 'door INSIDE livingroom', 'tv INSIDE livingroom', 'computer INSIDE livingroom']",YES
Are the windows in the house closed?,{'window': ['CLOSED']},"['window INSIDE bathroom', 'window INSIDE bedroom', 'window INSIDE livingroom']",YES
Did someone leave the fridge open in the kitchen?,{'fridge': ['OPEN']},['fridge INSIDE kitchen'],NO
Is someone studying in the living room?,"{'book': ['OPEN'], 'lights': ['ON'], 'computer': ['ON']}","['book INSIDE livingroom', 'lights INSIDE livingroom', 'computer INSIDE livingroom']",YES
